current_timestamp;timestamp_system;timestamp_device;left_gazeray_valid;left_gazeray_direction_x;left_gazeray_direction_y;left_gazeray_direction_z;left_gazeray_origin_x;left_gazeray_origin_y;left_gazeray_origin_z;left_blinking;left_pupil_diameter_valid;left_pupil_diameter_value;left_position_guide_valid;left_position_guide_x;left_position_guide_y;right_gazeray_valid;right_gazeray_direction_x;right_gazeray_direction_y;right_gazeray_direction_z;right_gazeray_origin_x;right_gazeray_origin_y;right_gazeray_origin_z;right_blinking;right_pupil_diameter_valid;right_pupil_diameter_value;right_position_guide_valid;right_position_guide_x;right_position_guide_y
20220208194936439;266358017;266358035;True;-0.1223013;0.2630543;0.9569978;-0.03283395;-0.008191873;-0.03036685;False;True;4.277225;True;0.4320156;0.7434197;True;0.03441233;0.2744177;0.9609947;0.02804868;-0.003137707;-0.03071082;False;True;3.813555;True;0.4050772;0.5792072
20220208194936466;266391340;266391358;True;-0.1235114;0.2537115;0.9593621;-0.03283344;-0.008138428;-0.03036685;False;True;4.267978;True;0.4318779;0.7431789;True;0.03442174;0.2817547;0.9588689;0.02804719;-0.003130174;-0.03071082;False;True;3.781615;True;0.405047;0.5778113
20220208194936496;266424663;266424681;True;-0.1246896;0.2540719;0.9591143;-0.03283176;-0.008120904;-0.03040313;False;True;4.264264;True;0.4317092;0.742679;True;0.03533672;0.2802652;0.9592721;0.02804509;-0.003126572;-0.03069386;False;True;3.78098;True;0.4051389;0.5779113
20220208194936498;266424663;266424681;True;-0.1246896;0.2540719;0.9591143;-0.03283176;-0.008120904;-0.03040313;False;True;4.264264;True;0.4317092;0.742679;True;0.03533672;0.2802652;0.9592721;0.02804509;-0.003126572;-0.03069386;False;True;3.78098;True;0.4051389;0.5779113
20220208194936521;266457986;266458004;True;-0.1246612;0.2554311;0.9587569;-0.03283117;-0.008107946;-0.03044266;False;True;4.245509;True;0.4316925;0.7421464;True;0.0366035;0.2788786;0.9596286;0.02804015;-0.003126572;-0.03065891;False;True;3.781491;True;0.405213;0.5780939
2022020819493655;266474648;266474666;True;-0.1239515;0.2570376;0.9584194;-0.03283117;-0.008104676;-0.03048173;False;True;4.24121;True;0.4317682;0.7418989;True;0.03673023;0.2781995;0.9598208;0.02803985;-0.003124896;-0.03065219;False;True;3.777845;True;0.4052274;0.5781344
20220208194936552;266474648;266474666;True;-0.1239515;0.2570376;0.9584194;-0.03283117;-0.008104676;-0.03048173;False;True;4.24121;True;0.4317682;0.7418989;True;0.03673023;0.2781995;0.9598208;0.02803985;-0.003124896;-0.03065219;False;True;3.777845;True;0.4052274;0.5781344
20220208194936577;266507971;266507989;True;-0.1239381;0.2569874;0.9584346;-0.03283133;-0.008104676;-0.03048212;False;True;4.233212;True;0.431763;0.741896;True;0.03674288;0.2780967;0.9598501;0.02803985;-0.003124896;-0.03065219;False;True;3.762257;True;0.4052273;0.5781348
20220208194936605;266524632;266524650;True;-0.1239356;0.2559047;0.9587246;-0.03283133;-0.008104676;-0.03048212;False;True;4.22118;True;0.4317687;0.7420488;True;0.03731791;0.2780577;0.9598392;0.02803985;-0.003124896;-0.03065219;False;True;3.762217;True;0.4053186;0.5781403
20220208194936634;266557955;266557973;True;-0.1241651;0.2554057;0.9588279;-0.03283176;-0.008100437;-0.03048961;False;True;4.212091;True;0.4317129;0.7420042;True;0.03681359;0.2770811;0.9601411;0.02803985;-0.003124896;-0.03065219;False;True;3.723418;True;0.4052314;0.5782431
20220208194936636;266557955;266557973;True;-0.1241651;0.2554057;0.9588279;-0.03283176;-0.008100437;-0.03048961;False;True;4.212091;True;0.4317129;0.7420042;True;0.03681359;0.2770811;0.9601411;0.02803985;-0.003124896;-0.03065219;False;True;3.723418;True;0.4052314;0.5782431
20220208194936662;266591279;266591297;True;-0.1210008;0.2621763;0.957404;-0.03283926;-0.008190058;-0.03039888;False;True;4.076684;True;0.4320393;0.7432997;True;0.03732632;0.2761748;0.9603825;0.02803985;-0.003122143;-0.03066593;False;True;3.722508;True;0.4052986;0.5783102
20220208194936689;266607940;266607958;True;-0.1229669;0.2567495;0.9586234;-0.03284176;-0.008199093;-0.0303654;False;True;4.112499;True;0.4316882;0.7443966;True;0.03729763;0.2771873;0.9600918;0.02804089;-0.003118441;-0.03070658;False;True;3.714873;True;0.4052926;0.5780697
20220208194936691;266607940;266607958;True;-0.1229669;0.2567495;0.9586234;-0.03284176;-0.008199093;-0.0303654;False;True;4.112499;True;0.4316882;0.7443966;True;0.03729763;0.2771873;0.9600918;0.02804089;-0.003118441;-0.03070658;False;True;3.714873;True;0.4052926;0.5780697
20220208194936717;266641263;266641281;True;-0.1219863;0.2598985;0.9578999;-0.03284358;-0.008175573;-0.03041167;False;True;4.109565;True;0.431742;0.743287;True;0.03598031;0.2786539;0.9597175;0.02804581;-0.003116293;-0.03078929;False;True;3.711575;True;0.4051686;0.5778459
20220208194936744;266674586;266674604;True;-0.1216241;0.2564913;0.9588638;-0.03284358;-0.008151071;-0.03043825;False;True;4.106049;True;0.4317932;0.7431188;True;0.03611862;0.2777725;0.9599677;0.02804648;-0.003116293;-0.03078929;False;True;3.695811;True;0.4052066;0.5779643
